Abel Grilo
Adalberto Ferreyra
Adelaide Garrido
Alberto Gallindo
Alcides santos
Aldalto Filipe
Aldoaira Rabelo
Aline Camilo
Anita Torquato
Apu Gois
Arachane Bah
Armindo Galante
Astolfo Antunes
Belchior Bulh‹o
Berenga Quinaz
Blasco Monte
Casimiro Palhares
Cassandra Osirio
Cau Freitas
Cestrio Caballero
Claudemiro Barrios
Clovis Campelo
Carlos Varanda
Dina Vega
Dirceu Moura
Dora Losada
Eduarda Pegado
Elisa Maranho
Ema Estevez
Emiliana Falco
Emilia Estrela
Enilda Batista
Epifania Palmeira
Estefane Rios
Eva Bel
Felisbela Chamusca
Felicia Tavera
Filipe Vilela
Firmina Sacramento
Firmino Nieto
Flavio Pais
Germano Moraes
Gerusa Marcondes
Gilda Meneses
Glauber Sousa 
Gomes Rosa
Heitor Marrero
Horacio Viveiros
Helder Cabral
Ibijara Cambava
Isilda Dantas
Ismael Colares
Jaci Barcelos
Jandira Torrado
Joana Castanho
Josue Vilarinho
Juta Sabrosa
Lavinia Lucas
Lenidas Camilo
Manuel Reino
Marcos Pontes
Marlene Surez
Marta Morais
Martim Ra
Mauro Britto
Mara Coelho
Miguel Assumpto
Natacha Marroquim
Neusa Leal
Nilza Noronha
Noel Vilarim
Nadia Cayado
Odilia Guedes
Ofelia Alcaide
Otavio Vaz
Palo Carlos
Patricio Alcaide
Paulino Valerio
Querubim Uchoa
Quintiliano Bugallo
Raoni Gois
Regina Barrocas
Renan Olivares
Ricardina Acevedo
Rubim Aragao
Romulo Povoas
Samuel Pessoa
Sarita Gorjo
Sonia Bivar
Talita Luz
Tatiana Queiroz
Teresa Figueiroa
Uriel Cafee
Valentim Caires
Valentim Ipiranga
Valkirio Moutinho
Vanessa Meneses
Ximena Sousa 
Zacarias Varella
Zezimo Conde
